veeva_event_id,hcp_id,interaction_id,campaign_id,drug_id,interaction_type,interaction_timestamp,interaction_duration_minutes,interaction_status,interaction_purpose,discussion_topic,follow_up_required,follow_up_date,rep_id,territory,channel,source_system
VEEEVT00011148,HCP1587,INT0011148,CAMP0002,DRUG001,Phone Call,2026-03-13 00:32:38,17,Completed,Disease Education,Safety,False,,REP030,North,Representative,Veeva_CRM
VEEEVT00003694,HCP0534,INT0003694,CAMP0015,DRUG005,In-Person Visit,2026-03-13 02:07:12,59,Completed,Clinical Evidence,Product Information,False,,REP025,South,Representative,Veeva_CRM
VEEEVT00007908,HCP1125,INT0007908,CAMP0020,DRUG007,In-Person Visit,2026-03-13 02:45:52,51,Cancelled,Clinical Evidence,Efficacy,False,,REP012,North,Representative,Veeva_CRM
VEEEVT00012390,HCP1763,INT0012390,CAMP0005,DRUG002,Phone Call,2026-03-13 03:11:11,12,Completed,Product Discussion,Treatment Guidelines,True,2026-03-24 03:11:11,REP017,West,Representative,Veeva_CRM
VEEEVT00002767,HCP0397,INT0002767,CAMP0017,DRUG006,In-Person Visit,2026-03-13 03:20:47,55,Completed,Treatment Update,Treatment Guidelines,True,2026-03-15 03:20:47,REP018,West,Representative,Veeva_CRM
VEEEVT00012137,HCP1727,INT0012137,CAMP0016,DRUG006,In-Person Visit,2026-03-13 03:36:39,44,Completed,Treatment Update,Dosage,True,2026-03-20 03:36:39,REP017,South,Representative,Veeva_CRM
VEEEVT00012172,HCP1733,INT0012172,CAMP0009,DRUG003,Virtual Meeting,2026-03-13 04:13:00,36,Completed,Clinical Evidence,Patient Population,True,2026-03-19 04:13:00,REP001,West,Representative,Veeva_CRM
VEEEVT00010872,HCP1551,INT0010872,CAMP0010,DRUG004,In-Person Visit,2026-03-13 04:28:44,28,Completed,Follow-up Discussion,Treatment Guidelines,False,,REP019,South,Representative,Veeva_CRM
VEEEVT00005898,HCP0843,INT0005898,CAMP0015,DRUG005,In-Person Visit,2026-03-13 04:32:44,51,Completed,Treatment Update,Safety,True,2026-03-26 04:32:44,REP028,West,Representative,Veeva_CRM
VEEEVT00001077,HCP0156,INT0001077,CAMP0021,DRUG007,In-Person Visit,2026-03-13 05:09:03,33,Cancelled,Disease Education,Treatment Guidelines,False,,REP018,West,Representative,Veeva_CRM
VEEEVT00007564,HCP1080,INT0007564,CAMP0005,DRUG002,Virtual Meeting,2026-03-13 05:26:38,38,Completed,New Product Introduction,Product Information,True,2026-03-27 05:26:38,REP018,East,Representative,Veeva_CRM
VEEEVT00010985,HCP1566,INT0010985,CAMP0002,DRUG001,In-Person Visit,2026-03-13 05:30:41,58,Completed,New Product Introduction,Safety,False,,REP001,West,Representative,Veeva_CRM
VEEEVT00007768,HCP1107,INT0007768,CAMP0019,DRUG007,Virtual Meeting,2026-03-13 07:39:53,33,Completed,Follow-up Discussion,Treatment Guidelines,True,2026-03-25 07:39:53,REP003,East,Representative,Veeva_CRM
VEEEVT00008159,HCP1164,INT0008159,CAMP0016,DRUG006,Virtual Meeting,2026-03-13 07:45:48,43,Cancelled,Product Discussion,Treatment Guidelines,False,,REP026,North,Representative,Veeva_CRM
VEEEVT00006370,HCP0909,INT0006370,CAMP0020,DRUG007,Phone Call,2026-03-13 09:02:54,17,Completed,Follow-up Discussion,Treatment Guidelines,False,,REP010,South,Representative,Veeva_CRM
VEEEVT00001277,HCP0187,INT0001277,CAMP0014,DRUG005,Phone Call,2026-03-13 09:18:55,13,Completed,Product Discussion,Clinical Evidence,True,2026-03-27 09:18:55,REP020,North,Representative,Veeva_CRM
VEEEVT00001309,HCP0192,INT0001309,CAMP0008,DRUG003,Phone Call,2026-03-13 09:25:48,11,Completed,Disease Education,Clinical Evidence,True,2026-03-24 09:25:48,REP022,South,Representative,Veeva_CRM
VEEEVT00003237,HCP0467,INT0003237,CAMP0012,DRUG004,In-Person Visit,2026-03-13 09:54:53,56,Completed,New Product Introduction,Product Information,False,,REP013,South,Representative,Veeva_CRM
VEEEVT00008587,HCP1224,INT0008587,CAMP0004,DRUG002,In-Person Visit,2026-03-13 10:15:41,49,Completed,Disease Education,Safety,True,2026-03-17 10:15:41,REP024,East,Representative,Veeva_CRM
VEEEVT00006910,HCP0986,INT0006910,CAMP0003,DRUG001,Phone Call,2026-03-13 10:59:53,10,Completed,New Product Introduction,Patient Population,False,,REP006,East,Representative,Veeva_CRM
VEEEVT00005844,HCP0835,INT0005844,CAMP0016,DRUG006,In-Person Visit,2026-03-13 11:13:46,38,No Show,Follow-up Discussion,Treatment Guidelines,False,,REP027,South,Representative,Veeva_CRM
VEEEVT00012150,HCP1730,INT0012150,CAMP0003,DRUG001,In-Person Visit,2026-03-13 12:50:08,53,Completed,Follow-up Discussion,Dosage,False,,REP017,North,Representative,Veeva_CRM
VEEEVT00010714,HCP1533,INT0010714,CAMP0013,DRUG005,In-Person Visit,2026-03-13 13:04:02,53,Completed,New Product Introduction,Patient Population,True,2026-03-26 13:04:02,REP019,West,Representative,Veeva_CRM
VEEEVT00006126,HCP0873,INT0006126,CAMP0002,DRUG001,Virtual Meeting,2026-03-13 13:07:03,41,Completed,Disease Education,Treatment Guidelines,True,2026-03-16 13:07:03,REP024,East,Representative,Veeva_CRM
VEEEVT00008874,HCP1264,INT0008874,CAMP0019,DRUG007,In-Person Visit,2026-03-13 13:59:07,29,Completed,New Product Introduction,Treatment Guidelines,False,,REP021,North,Representative,Veeva_CRM
VEEEVT00009392,HCP1341,INT0009392,CAMP0017,DRUG006,In-Person Visit,2026-03-13 14:43:44,47,Completed,New Product Introduction,Product Information,True,2026-03-27 14:43:44,REP013,West,Representative,Veeva_CRM
VEEEVT00005100,HCP0731,INT0005100,CAMP0001,DRUG001,Phone Call,2026-03-13 14:55:02,16,Cancelled,Disease Education,Clinical Evidence,False,,REP015,North,Representative,Veeva_CRM
VEEEVT00000960,HCP0140,INT0000960,CAMP0020,DRUG007,Phone Call,2026-03-13 15:01:48,17,Completed,Clinical Evidence,Treatment Guidelines,False,,REP014,South,Representative,Veeva_CRM
VEEEVT00006234,HCP0889,INT0006234,CAMP0010,DRUG004,In-Person Visit,2026-03-13 15:39:32,25,Completed,New Product Introduction,Clinical Evidence,False,,REP029,South,Representative,Veeva_CRM
VEEEVT00007075,HCP1010,INT0007075,CAMP0016,DRUG006,Virtual Meeting,2026-03-13 16:49:00,26,Completed,New Product Introduction,Product Information,True,2026-03-19 16:49:00,REP030,North,Representative,Veeva_CRM
VEEEVT00004251,HCP0609,INT0004251,CAMP0003,DRUG001,Virtual Meeting,2026-03-13 16:57:56,22,Completed,Disease Education,Safety,True,2026-03-18 16:57:56,REP005,West,Representative,Veeva_CRM
VEEEVT00006156,HCP0877,INT0006156,CAMP0021,DRUG007,In-Person Visit,2026-03-13 17:14:35,28,Completed,Follow-up Discussion,Product Information,False,,REP030,East,Representative,Veeva_CRM
VEEEVT00012146,HCP1729,INT0012146,CAMP0024,DRUG008,Virtual Meeting,2026-03-13 17:28:33,34,Completed,Clinical Evidence,Clinical Evidence,False,,REP015,South,Representative,Veeva_CRM
VEEEVT00002315,HCP0336,INT0002315,CAMP0011,DRUG004,In-Person Visit,2026-03-13 18:52:32,39,Completed,Clinical Evidence,Patient Population,True,2026-03-26 18:52:32,REP016,West,Representative,Veeva_CRM
VEEEVT00012615,HCP1796,INT0012615,CAMP0022,DRUG008,In-Person Visit,2026-03-13 18:56:21,49,Completed,Treatment Update,Dosage,False,,REP011,North,Representative,Veeva_CRM
VEEEVT00005204,HCP0745,INT0005204,CAMP0003,DRUG001,Phone Call,2026-03-13 19:51:46,14,Completed,Product Discussion,Clinical Evidence,True,2026-03-21 19:51:46,REP020,West,Representative,Veeva_CRM
VEEEVT00012461,HCP1775,INT0012461,CAMP0008,DRUG003,In-Person Visit,2026-03-13 20:11:19,39,Completed,Disease Education,Treatment Guidelines,True,2026-03-23 20:11:19,REP002,East,Representative,Veeva_CRM
VEEEVT00010508,HCP1503,INT0010508,CAMP0015,DRUG005,Phone Call,2026-03-13 21:08:03,5,No Show,Disease Education,Patient Population,False,,REP004,West,Representative,Veeva_CRM
VEEEVT00000587,HCP0089,INT0000587,CAMP0005,DRUG002,In-Person Visit,2026-03-13 21:41:13,36,No Show,Follow-up Discussion,Dosage,False,,REP014,West,Representative,Veeva_CRM
VEEEVT00008605,HCP1226,INT0008605,CAMP0002,DRUG001,Virtual Meeting,2026-03-13 22:01:16,16,Completed,Follow-up Discussion,Clinical Evidence,False,,REP018,West,Representative,Veeva_CRM
VEEEVT00012674,HCP1804,INT0012674,CAMP0008,DRUG003,Phone Call,2026-03-13 22:10:59,14,No Show,Product Discussion,Dosage,False,,REP013,East,Representative,Veeva_CRM
VEEEVT00004166,HCP0598,INT0004166,CAMP0008,DRUG003,Virtual Meeting,2026-03-13 22:30:35,28,Completed,Disease Education,Safety,True,2026-03-26 22:30:35,REP001,North,Representative,Veeva_CRM
VEEEVT00000039,HCP0007,INT0000039,CAMP0012,DRUG004,In-Person Visit,2026-03-13 22:34:31,47,Completed,New Product Introduction,Treatment Guidelines,False,,REP021,West,Representative,Veeva_CRM
VEEEVT00010127,HCP1445,INT0010127,CAMP0001,DRUG001,Phone Call,2026-03-13 22:38:30,11,Completed,New Product Introduction,Clinical Evidence,True,2026-03-21 22:38:30,REP007,South,Representative,Veeva_CRM
VEEEVT00009616,HCP1372,INT0009616,CAMP0003,DRUG001,Virtual Meeting,2026-03-13 23:14:28,33,Completed,Treatment Update,Product Information,True,2026-03-25 23:14:28,REP016,South,Representative,Veeva_CRM
VEEEVT00007500,HCP1073,INT0007500,CAMP0006,DRUG002,In-Person Visit,2026-03-13 23:29:40,29,Completed,Follow-up Discussion,Treatment Guidelines,False,,REP016,West,Representative,Veeva_CRM
VEEEVT00008205,HCP1170,INT0008205,CAMP0023,DRUG008,Virtual Meeting,2026-03-13 23:49:57,41,Completed,Clinical Evidence,Efficacy,True,2026-03-25 23:49:57,REP012,North,Representative,Veeva_CRM
VEEEVT00013753,HCP1956,INT0013753,CAMP0005,DRUG002,Phone Call,2026-03-14 00:01:12,5,Completed,Treatment Update,Dosage,False,,REP015,East,Representative,Veeva_CRM
VEEEVT00012631,HCP1798,INT0012631,CAMP0023,DRUG008,In-Person Visit,2026-03-14 00:15:57,46,Completed,Follow-up Discussion,Safety,True,2026-03-18 00:15:57,REP020,North,Representative,Veeva_CRM
VEEEVT00004469,HCP0639,INT0004469,CAMP0008,DRUG003,Phone Call,2026-03-14 00:56:39,11,Completed,Disease Education,Efficacy,False,,REP029,North,Representative,Veeva_CRM
VEEEVT00006683,HCP0953,INT0006683,CAMP0017,DRUG006,Phone Call,2026-03-14 01:04:49,8,Completed,Clinical Evidence,Efficacy,True,2026-03-27 01:04:49,REP009,South,Representative,Veeva_CRM
VEEEVT00013220,HCP1881,INT0013220,CAMP0012,DRUG004,Virtual Meeting,2026-03-14 01:34:47,30,Completed,Disease Education,Dosage,True,2026-03-17 01:34:47,REP028,North,Representative,Veeva_CRM
VEEEVT00011735,HCP1669,INT0011735,CAMP0015,DRUG005,In-Person Visit,2026-03-14 02:01:16,46,Completed,Disease Education,Clinical Evidence,False,,REP003,East,Representative,Veeva_CRM
VEEEVT00004218,HCP0604,INT0004218,CAMP0013,DRUG005,In-Person Visit,2026-03-14 02:38:25,56,Completed,Clinical Evidence,Patient Population,False,,REP008,North,Representative,Veeva_CRM
VEEEVT00004797,HCP0687,INT0004797,CAMP0004,DRUG002,Phone Call,2026-03-14 03:11:13,5,Completed,Product Discussion,Patient Population,False,,REP004,North,Representative,Veeva_CRM
VEEEVT00008553,HCP1219,INT0008553,CAMP0006,DRUG002,In-Person Visit,2026-03-14 03:11:13,34,Completed,Disease Education,Dosage,False,,REP010,West,Representative,Veeva_CRM
VEEEVT00011087,HCP1579,INT0011087,CAMP0019,DRUG007,In-Person Visit,2026-03-14 03:43:32,38,Completed,Product Discussion,Product Information,True,2026-03-18 03:43:32,REP023,West,Representative,Veeva_CRM
VEEEVT00001081,HCP0157,INT0001081,CAMP0023,DRUG008,Virtual Meeting,2026-03-14 03:58:17,44,Completed,New Product Introduction,Dosage,False,,REP009,East,Representative,Veeva_CRM
VEEEVT00009650,HCP1378,INT0009650,CAMP0016,DRUG006,In-Person Visit,2026-03-14 03:59:38,45,Completed,Clinical Evidence,Treatment Guidelines,False,,REP021,South,Representative,Veeva_CRM
VEEEVT00008750,HCP1246,INT0008750,CAMP0012,DRUG004,In-Person Visit,2026-03-14 04:30:47,34,Completed,Follow-up Discussion,Product Information,False,,REP026,East,Representative,Veeva_CRM
VEEEVT00005449,HCP0781,INT0005449,CAMP0023,DRUG008,In-Person Visit,2026-03-14 04:50:59,42,Completed,Follow-up Discussion,Efficacy,True,2026-03-24 04:50:59,REP013,North,Representative,Veeva_CRM
VEEEVT00005583,HCP0798,INT0005583,CAMP0015,DRUG005,Phone Call,2026-03-14 05:07:09,7,Completed,Treatment Update,Clinical Evidence,False,,REP027,North,Representative,Veeva_CRM
VEEEVT00001825,HCP0263,INT0001825,CAMP0019,DRUG007,In-Person Visit,2026-03-14 06:14:09,56,Completed,Clinical Evidence,Patient Population,False,,REP022,South,Representative,Veeva_CRM
VEEEVT00010089,HCP1439,INT0010089,CAMP0002,DRUG001,Phone Call,2026-03-14 06:19:43,7,Completed,Clinical Evidence,Treatment Guidelines,False,,REP016,West,Representative,Veeva_CRM
VEEEVT00003325,HCP0480,INT0003325,CAMP0016,DRUG006,Virtual Meeting,2026-03-14 06:30:42,16,Cancelled,Clinical Evidence,Safety,False,,REP010,North,Representative,Veeva_CRM
VEEEVT00005230,HCP0748,INT0005230,CAMP0009,DRUG003,In-Person Visit,2026-03-14 06:38:02,53,Completed,Disease Education,Patient Population,True,2026-03-24 06:38:02,REP010,East,Representative,Veeva_CRM
VEEEVT00008461,HCP1206,INT0008461,CAMP0019,DRUG007,Phone Call,2026-03-14 06:42:15,9,Completed,New Product Introduction,Patient Population,True,2026-03-25 06:42:15,REP002,West,Representative,Veeva_CRM
VEEEVT00007544,HCP1078,INT0007544,CAMP0016,DRUG006,Phone Call,2026-03-14 06:58:29,11,Completed,Product Discussion,Treatment Guidelines,True,2026-03-20 06:58:29,REP027,North,Representative,Veeva_CRM
VEEEVT00003404,HCP0491,INT0003404,CAMP0022,DRUG008,In-Person Visit,2026-03-14 07:06:51,48,Completed,Product Discussion,Clinical Evidence,True,2026-03-26 07:06:51,REP014,West,Representative,Veeva_CRM
VEEEVT00009629,HCP1375,INT0009629,CAMP0004,DRUG002,In-Person Visit,2026-03-14 07:09:29,56,Completed,Product Discussion,Efficacy,False,,REP026,West,Representative,Veeva_CRM
VEEEVT00007437,HCP1063,INT0007437,CAMP0007,DRUG003,In-Person Visit,2026-03-14 07:25:49,26,Completed,Disease Education,Product Information,False,,REP002,West,Representative,Veeva_CRM
VEEEVT00010828,HCP1547,INT0010828,CAMP0015,DRUG005,In-Person Visit,2026-03-14 07:51:38,28,Completed,New Product Introduction,Treatment Guidelines,True,2026-03-23 07:51:38,REP012,East,Representative,Veeva_CRM
VEEEVT00006296,HCP0898,INT0006296,CAMP0015,DRUG005,In-Person Visit,2026-03-14 07:58:48,55,Completed,Treatment Update,Clinical Evidence,True,2026-03-28 07:58:48,REP020,South,Representative,Veeva_CRM
VEEEVT00011045,HCP1575,INT0011045,CAMP0016,DRUG006,In-Person Visit,2026-03-14 08:06:37,40,Completed,Clinical Evidence,Efficacy,False,,REP005,South,Representative,Veeva_CRM
VEEEVT00005128,HCP0734,INT0005128,CAMP0018,DRUG006,Phone Call,2026-03-14 08:42:06,18,Completed,Disease Education,Product Information,True,2026-03-21 08:42:06,REP009,North,Representative,Veeva_CRM
VEEEVT00010800,HCP1543,INT0010800,CAMP0011,DRUG004,Phone Call,2026-03-14 08:55:10,15,Completed,Follow-up Discussion,Treatment Guidelines,True,2026-03-16 08:55:10,REP022,West,Representative,Veeva_CRM
VEEEVT00009043,HCP1287,INT0009043,CAMP0011,DRUG004,In-Person Visit,2026-03-14 09:03:03,52,Completed,Treatment Update,Product Information,False,,REP012,South,Representative,Veeva_CRM
VEEEVT00010711,HCP1533,INT0010711,CAMP0021,DRUG007,In-Person Visit,2026-03-14 09:03:50,33,Completed,Clinical Evidence,Product Information,True,2026-03-18 09:03:50,REP027,West,Representative,Veeva_CRM
VEEEVT00007831,HCP1115,INT0007831,CAMP0024,DRUG008,Phone Call,2026-03-14 09:14:31,15,Completed,Product Discussion,Treatment Guidelines,False,,REP018,West,Representative,Veeva_CRM
VEEEVT00002396,HCP0345,INT0002396,CAMP0008,DRUG003,In-Person Visit,2026-03-14 09:30:46,39,Completed,New Product Introduction,Safety,True,2026-03-26 09:30:46,REP005,West,Representative,Veeva_CRM
VEEEVT00005129,HCP0734,INT0005129,CAMP0018,DRUG006,In-Person Visit,2026-03-14 09:51:44,52,Cancelled,New Product Introduction,Treatment Guidelines,False,,REP028,North,Representative,Veeva_CRM
VEEEVT00004158,HCP0598,INT0004158,CAMP0007,DRUG003,Virtual Meeting,2026-03-14 10:33:03,40,Completed,Clinical Evidence,Dosage,True,2026-03-24 10:33:03,REP026,North,Representative,Veeva_CRM
VEEEVT00008072,HCP1153,INT0008072,CAMP0004,DRUG002,In-Person Visit,2026-03-14 10:39:22,38,Completed,Treatment Update,Treatment Guidelines,False,,REP028,East,Representative,Veeva_CRM
VEEEVT00005153,HCP0738,INT0005153,CAMP0022,DRUG008,In-Person Visit,2026-03-14 10:51:05,45,No Show,Treatment Update,Dosage,False,,REP003,South,Representative,Veeva_CRM
VEEEVT00001129,HCP0166,INT0001129,CAMP0017,DRUG006,Virtual Meeting,2026-03-14 11:03:14,29,Completed,Product Discussion,Clinical Evidence,False,,REP001,South,Representative,Veeva_CRM
VEEEVT00009348,HCP1336,INT0009348,CAMP0001,DRUG001,In-Person Visit,2026-03-14 12:00:44,44,Completed,Treatment Update,Safety,False,,REP021,South,Representative,Veeva_CRM
VEEEVT00006089,HCP0869,INT0006089,CAMP0009,DRUG003,Phone Call,2026-03-14 12:29:42,15,Completed,Follow-up Discussion,Product Information,True,2026-03-24 12:29:42,REP006,South,Representative,Veeva_CRM
VEEEVT00012608,HCP1796,INT0012608,CAMP0003,DRUG001,Phone Call,2026-03-14 12:45:35,15,Completed,Clinical Evidence,Patient Population,True,2026-03-20 12:45:35,REP010,North,Representative,Veeva_CRM
VEEEVT00012296,HCP1752,INT0012296,CAMP0006,DRUG002,Phone Call,2026-03-14 13:02:15,12,Completed,Disease Education,Dosage,True,2026-03-23 13:02:15,REP006,South,Representative,Veeva_CRM
VEEEVT00011691,HCP1662,INT0011691,CAMP0010,DRUG004,Phone Call,2026-03-14 14:51:23,17,Completed,Disease Education,Treatment Guidelines,True,2026-03-26 14:51:23,REP015,North,Representative,Veeva_CRM
VEEEVT00004662,HCP0665,INT0004662,CAMP0005,DRUG002,In-Person Visit,2026-03-14 15:15:41,33,Completed,Disease Education,Safety,False,,REP001,North,Representative,Veeva_CRM
VEEEVT00002714,HCP0389,INT0002714,CAMP0002,DRUG001,Phone Call,2026-03-14 15:56:24,10,Completed,Disease Education,Clinical Evidence,True,2026-03-28 15:56:24,REP026,West,Representative,Veeva_CRM
VEEEVT00004700,HCP0670,INT0004700,CAMP0006,DRUG002,Phone Call,2026-03-14 16:06:55,16,Completed,Treatment Update,Efficacy,False,,REP013,West,Representative,Veeva_CRM
VEEEVT00006434,HCP0919,INT0006434,CAMP0001,DRUG001,In-Person Visit,2026-03-14 16:13:49,28,Completed,Clinical Evidence,Clinical Evidence,False,,REP018,West,Representative,Veeva_CRM
VEEEVT00009862,HCP1405,INT0009862,CAMP0022,DRUG008,In-Person Visit,2026-03-14 16:15:42,29,Completed,Disease Education,Treatment Guidelines,False,,REP017,North,Representative,Veeva_CRM
VEEEVT00013702,HCP1948,INT0013702,CAMP0006,DRUG002,Phone Call,2026-03-14 17:36:46,17,Completed,Disease Education,Product Information,True,2026-03-28 17:36:46,REP002,East,Representative,Veeva_CRM
VEEEVT00000254,HCP0037,INT0000254,CAMP0008,DRUG003,In-Person Visit,2026-03-14 17:58:59,31,Cancelled,Follow-up Discussion,Efficacy,False,,REP002,West,Representative,Veeva_CRM
VEEEVT00009204,HCP1313,INT0009204,CAMP0007,DRUG003,In-Person Visit,2026-03-14 17:59:48,44,Completed,Product Discussion,Safety,False,,REP024,East,Representative,Veeva_CRM
VEEEVT00009146,HCP1306,INT0009146,CAMP0018,DRUG006,Phone Call,2026-03-14 18:42:59,15,Completed,Product Discussion,Dosage,True,2026-03-26 18:42:59,REP009,South,Representative,Veeva_CRM
VEEEVT00012043,HCP1713,INT0012043,CAMP0011,DRUG004,In-Person Visit,2026-03-14 18:47:50,34,Completed,Follow-up Discussion,Patient Population,False,,REP021,East,Representative,Veeva_CRM
VEEEVT00004482,HCP0640,INT0004482,CAMP0024,DRUG008,Phone Call,2026-03-14 19:14:42,13,No Show,Follow-up Discussion,Patient Population,False,,REP015,East,Representative,Veeva_CRM
VEEEVT00000561,HCP0084,INT0000561,CAMP0001,DRUG001,In-Person Visit,2026-03-14 19:28:54,44,Completed,Disease Education,Patient Population,False,,REP001,West,Representative,Veeva_CRM
VEEEVT00003874,HCP0559,INT0003874,CAMP0010,DRUG004,In-Person Visit,2026-03-14 19:32:00,28,Completed,Disease Education,Dosage,False,,REP026,North,Representative,Veeva_CRM
VEEEVT00007152,HCP1021,INT0007152,CAMP0003,DRUG001,In-Person Visit,2026-03-14 20:37:12,31,Completed,New Product Introduction,Clinical Evidence,False,,REP008,South,Representative,Veeva_CRM
VEEEVT00004811,HCP0689,INT0004811,CAMP0015,DRUG005,Virtual Meeting,2026-03-14 20:43:41,31,Completed,Treatment Update,Dosage,True,2026-03-24 20:43:41,REP013,East,Representative,Veeva_CRM
VEEEVT00010410,HCP1486,INT0010410,CAMP0001,DRUG001,In-Person Visit,2026-03-14 21:24:52,25,Completed,Disease Education,Dosage,True,2026-03-22 21:24:52,REP026,South,Representative,Veeva_CRM
VEEEVT00000929,HCP0136,INT0000929,CAMP0014,DRUG005,In-Person Visit,2026-03-14 21:53:12,43,Completed,New Product Introduction,Efficacy,False,,REP009,North,Representative,Veeva_CRM
VEEEVT00001257,HCP0184,INT0001257,CAMP0004,DRUG002,Phone Call,2026-03-14 21:56:23,20,Completed,New Product Introduction,Product Information,False,,REP003,South,Representative,Veeva_CRM
VEEEVT00004076,HCP0585,INT0004076,CAMP0023,DRUG008,Virtual Meeting,2026-03-14 22:07:00,25,Completed,Treatment Update,Clinical Evidence,False,,REP020,East,Representative,Veeva_CRM
VEEEVT00009225,HCP1316,INT0009225,CAMP0010,DRUG004,Phone Call,2026-03-14 22:27:06,17,Completed,Disease Education,Product Information,True,2026-03-26 22:27:06,REP004,South,Representative,Veeva_CRM
VEEEVT00011475,HCP1633,INT0011475,CAMP0018,DRUG006,Phone Call,2026-03-14 22:37:32,7,Completed,Clinical Evidence,Dosage,False,,REP014,West,Representative,Veeva_CRM
VEEEVT00013355,HCP1899,INT0013355,CAMP0005,DRUG002,Phone Call,2026-03-14 22:59:21,16,Completed,Disease Education,Safety,False,,REP015,South,Representative,Veeva_CRM
VEEEVT00007550,HCP1078,INT0007550,CAMP0018,DRUG006,Phone Call,2026-03-14 23:26:44,16,Completed,Follow-up Discussion,Treatment Guidelines,False,,REP016,North,Representative,Veeva_CRM
VEEEVT00005767,HCP0824,INT0005767,CAMP0016,DRUG006,In-Person Visit,2026-03-14 23:46:44,50,Completed,Treatment Update,Dosage,False,,REP019,North,Representative,Veeva_CRM
VEEEVT00004426,HCP0632,INT0004426,CAMP0022,DRUG008,Phone Call,2026-03-15 00:23:42,10,Completed,Follow-up Discussion,Treatment Guidelines,True,2026-03-20 00:23:42,REP002,South,Representative,Veeva_CRM
VEEEVT00013928,HCP1978,INT0013928,CAMP0022,DRUG008,Virtual Meeting,2026-03-15 00:39:43,38,Completed,New Product Introduction,Safety,False,,REP023,South,Representative,Veeva_CRM
VEEEVT00009334,HCP1334,INT0009334,CAMP0024,DRUG008,Virtual Meeting,2026-03-15 00:54:05,22,Completed,Follow-up Discussion,Product Information,False,,REP001,West,Representative,Veeva_CRM
VEEEVT00010040,HCP1433,INT0010040,CAMP0005,DRUG002,In-Person Visit,2026-03-15 02:06:27,25,Completed,Treatment Update,Dosage,False,,REP008,North,Representative,Veeva_CRM
VEEEVT00013202,HCP1879,INT0013202,CAMP0024,DRUG008,Virtual Meeting,2026-03-15 02:53:01,29,Completed,Clinical Evidence,Treatment Guidelines,False,,REP023,South,Representative,Veeva_CRM
VEEEVT00002150,HCP0313,INT0002150,CAMP0002,DRUG001,Phone Call,2026-03-15 02:58:43,17,Cancelled,Disease Education,Efficacy,False,,REP018,West,Representative,Veeva_CRM
VEEEVT00007727,HCP1103,INT0007727,CAMP0008,DRUG003,In-Person Visit,2026-03-15 02:59:36,49,Completed,Disease Education,Dosage,True,2026-03-20 02:59:36,REP026,North,Representative,Veeva_CRM
VEEEVT00011588,HCP1647,INT0011588,CAMP0023,DRUG008,Phone Call,2026-03-15 03:03:25,6,Completed,Treatment Update,Dosage,False,,REP007,East,Representative,Veeva_CRM
VEEEVT00000954,HCP0139,INT0000954,CAMP0002,DRUG001,Phone Call,2026-03-15 03:18:32,9,Completed,Clinical Evidence,Efficacy,True,2026-03-19 03:18:32,REP020,East,Representative,Veeva_CRM
VEEEVT00004960,HCP0710,INT0004960,CAMP0010,DRUG004,Virtual Meeting,2026-03-15 03:22:35,45,Completed,New Product Introduction,Product Information,True,2026-03-29 03:22:35,REP023,South,Representative,Veeva_CRM
VEEEVT00012056,HCP1714,INT0012056,CAMP0007,DRUG003,Phone Call,2026-03-15 03:56:36,17,Completed,Treatment Update,Treatment Guidelines,True,2026-03-26 03:56:36,REP014,South,Representative,Veeva_CRM
VEEEVT00005435,HCP0779,INT0005435,CAMP0023,DRUG008,In-Person Visit,2026-03-15 04:17:55,50,Completed,Product Discussion,Dosage,False,,REP007,North,Representative,Veeva_CRM
VEEEVT00010466,HCP1498,INT0010466,CAMP0005,DRUG002,In-Person Visit,2026-03-15 04:43:09,51,Completed,Follow-up Discussion,Efficacy,False,,REP017,North,Representative,Veeva_CRM
VEEEVT00000397,HCP0059,INT0000397,CAMP0017,DRUG006,Phone Call,2026-03-15 05:03:22,5,Cancelled,Product Discussion,Patient Population,False,,REP020,West,Representative,Veeva_CRM
VEEEVT00000585,HCP0089,INT0000585,CAMP0006,DRUG002,In-Person Visit,2026-03-15 05:10:18,31,Completed,Treatment Update,Clinical Evidence,False,,REP025,West,Representative,Veeva_CRM
VEEEVT00004434,HCP0633,INT0004434,CAMP0006,DRUG002,Phone Call,2026-03-15 05:11:44,7,Completed,Disease Education,Safety,False,,REP005,South,Representative,Veeva_CRM
VEEEVT00009286,HCP1326,INT0009286,CAMP0022,DRUG008,In-Person Visit,2026-03-15 05:22:58,38,Cancelled,Treatment Update,Product Information,False,,REP030,West,Representative,Veeva_CRM
VEEEVT00003238,HCP0467,INT0003238,CAMP0003,DRUG001,In-Person Visit,2026-03-15 06:26:21,58,Completed,New Product Introduction,Safety,False,,REP001,South,Representative,Veeva_CRM
VEEEVT00011516,HCP1638,INT0011516,CAMP0002,DRUG001,Virtual Meeting,2026-03-15 06:42:34,17,No Show,Clinical Evidence,Treatment Guidelines,False,,REP021,East,Representative,Veeva_CRM
VEEEVT00011167,HCP1590,INT0011167,CAMP0006,DRUG002,In-Person Visit,2026-03-15 06:43:29,51,Completed,Clinical Evidence,Patient Population,False,,REP009,South,Representative,Veeva_CRM
VEEEVT00010437,HCP1492,INT0010437,CAMP0012,DRUG004,Phone Call,2026-03-15 06:48:39,13,Completed,Treatment Update,Safety,False,,REP001,West,Representative,Veeva_CRM
